Opportunity Name,Explorer,Opportunity Record Type,Close Date,Stage,Probability (%),Quantity,Sales Price,Product Code,Price Book Entry Id
Troy Bullock - Milford Track - 2026,Troy Bullock,Individual Opportunity,1/1/2026,New,10,1,2500,MTT,01u0a00000I4Jy2AAF
Hamid Basirat - Milford Track - 2026,Hamid Basirat,Individual Opportunity,1/1/2026,New,10,1,2500,MTT,01u0a00000I4Jy2AAF
Bree Reitz - Milford Track - 2026,Bree Reitz,Individual Opportunity,1/1/2026,New,10,1,2500,MTT,01u0a00000I4Jy2AAF
Hollie Everhart - Milford Track - 2026,Hollie Everhart,Individual Opportunity,1/1/2026,New,10,1,2500,MTT,01u0a00000I4Jy2AAF
Marci Viviano - Milford Track - 2026,Marci Viviano,Individual Opportunity,1/1/2026,New,10,1,2500,MTT,01u0a00000I4Jy2AAF
Lloyd Archibald - Milford Track - 2026,Lloyd Archibald,Individual Opportunity,1/1/2026,New,10,1,2500,MTT,01u0a00000I4Jy2AAF
Bob Hodges - Machu Picchu - 2026,Bob Hodges,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4Jy7AAF
Karen Wells - Machu Picchu - 2026,Karen Wells,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4Jy7AAF
Mike Welch - Machu Picchu - 2026,Mike Welch,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4Jy7AAF
Wes Hardin - Machu Picchu - 2026,Wes Hardin,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4Jy7AAF
May Chan - Machu Picchu - 2026,May Chan,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4Jy7AAF
Sarah Phillips - Machu Picchu - 2026,Sarah Phillips,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4Jy7AAF
Marc Benioff - Machu Picchu - 2026,Marc Benioff,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4Jy7AAF
Emilee Kendra - Machu Picchu - 2026,Emilee Kendra,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4Jy7AAF
Brad Anastasio - Machu Picchu - 2026,Brad Anastasio,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4Jy7AAF
Chris Post - Machu Picchu - 2026,Chris Post,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4Jy7AAF
Wes Chopra - Machu Picchu - 2026,Wes Chopra,Individual Opportunity,3/1/2026,New,10,1,2500,MPT,01u0a00000I4Jy7AAF
Gabe Hotkins - Half Dome - 2026,Gabe Hotkins,Individual Opportunity,4/1/2026,New,10,1,400,HDH,01u0a00000I4JyCAAV
Lance Gonzales - Half Dome - 2026,Lance Gonzales,Individual Opportunity,4/1/2026,New,10,1,400,HDH,01u0a00000I4JyCAAV
Steve Sutherland - Half Dome - 2026,Steve Sutherland,Individual Opportunity,4/1/2026,New,10,1,400,HDH,01u0a00000I4JyCAAV
Heath Axworth - Half Dome - 2026,Heath Axworth,Individual Opportunity,4/1/2026,New,10,1,400,HDH,01u0a00000I4JyCAAV
Mina Passini - Half Dome - 2026,Mina Passini,Individual Opportunity,4/1/2026,New,10,1,400,HDH,01u0a00000I4JyCAAV
