"ID","FULL NAME","MAILING STREET","MAILING CITY","MAILING STATE/PROVINCE","MAILING ZIP/POSTAL CODE","MAILING COUNTRY","PHONE","EMAIL","STATUS"
"0030a00001rv475AAA","Duncan Macintosh","1909 Union St","San Francisco","CA","94123","United States","(415) 555-4919","dmacintosh@example.com","Item Created"
"0030a00001rv476AAA","Daryl Distributor","986 Denver Avenue","Riverside","CA","92501","United States","(951) 555-3295","ddistributor@example.com","Item Created"
"0030a00001rv477AAA","David Adelson","660 Sutter St","San Francisco","CA","94102","United States","(650) 555-4645","dadelson@example.com","Item Created"
"0030a00001rv478AAA","Mark Smith","585 Franklin St","Mountain View","CA","94041","United States","(650) 555-5758","msmith@example.com","Item Created"
"0030a00001rv479AAA","Mike Garcia","500 Howard St","San Francisco","CA","94105","United States","(415) 555-6767","mgarcia@example.com","Item Created"
"0030a00001rv47AAAQ","Deanna Collins","2323 Mission St","San Francisco","CA","94110","United States","(415) 555-8883","dcollins@example.com","Item Created"
"0030a00001rv47BAAQ","Andy Peterson","100 Larkin Street","San Francisco","CA","94102","United States","(415) 555-3854","apeterson@example.com","Item Created"
"0030a00001rv47CAAQ","Anne Frost","345 California St","San Francisco","CA","94105","United States","(415) 555-2622","afrost@example.com","Item Created"
"0030a00001rv47DAAQ","Stacy McNeil","315 E. 14th St.","Davis","CA","95616","United States","(530) 555-2593","smcneil@example.com","Item Created"
"0030a00001rv47EAAQ","Robert Simpson","250 1st St","Woodland","CA","95695","United States","(530) 555-8725","rsimpson@example.com","Item Created"
"0030a00001rv47FAAQ","Gabe Hotkins","1750 Oak Park Blvd.","Pleasant Hill","CA","94523","United States","(925) 555-9897","ghotkins@example.com","Item Created"
"0030a00001rv47GAAQ","Lance Gonzales","1644 N. Broadway","Walnut Creek","CA","94596","United States","(925) 555-8624","lgonzales@example.com","Item Created"
"0030a00001rv47HAAQ","Steve Sutherland","913 N Broadview Ave","Wichita","KS","67208","United States","(608) 555-3399","ssutherland@example.com","Item Created"
